timestamp,name,attribute_name,value
2021-10-18 13:15:38.887,EV Chargers,power,64.969
2021-10-18 13:45:40.835,EV Chargers,power,73.981
2021-10-18 14:15:41.559,EV Chargers,power,72.745
2021-10-18 14:45:42.933,EV Chargers,power,75.812
2021-10-18 15:16:02.748,EV Chargers,power,94.165
2021-10-18 15:46:21.923,EV Chargers,power,122.748
2021-10-18 16:16:38.704,EV Chargers,power,155.296
2021-10-18 16:47:00.792,EV Chargers,power,159.58
2021-10-18 17:17:25.798,EV Chargers,power,162.144
2021-10-18 17:47:44.828,EV Chargers,power,161.284
2021-10-18 18:18:11.178,EV Chargers,power,158.819
2021-10-18 18:48:31.306,EV Chargers,power,151.374
2021-10-18 19:18:51.579,EV Chargers,power,142.174
2021-10-18 19:49:11.755,EV Chargers,power,134.34
2021-10-18 20:19:29.364,EV Chargers,power,131.007
2021-10-18 20:49:56.027,EV Chargers,power,119.924
2021-10-18 21:20:21.171,EV Chargers,power,108.775
2021-10-18 22:21:04.554,EV Chargers,power,96.378
2021-10-18 22:51:24.797,EV Chargers,power,79.543
2021-10-18 23:21:49.059,EV Chargers,power,63.187
2021-10-18 23:52:07.679,EV Chargers,power,47.934
2021-10-19 00:22:36.765,EV Chargers,power,41.077
2021-10-19 00:52:58.419,EV Chargers,power,33.273
2021-10-19 01:23:20.785,EV Chargers,power,29.634
2021-10-19 01:53:21.232,EV Chargers,power,19.238
2021-10-19 02:23:40.879,EV Chargers,power,20.326
2021-10-19 02:54:08.795,EV Chargers,power,19.772
2021-10-19 03:24:24.168,EV Chargers,power,15.989
2021-10-19 03:54:39.391,EV Chargers,power,11.695
2021-10-19 04:25:01.374,EV Chargers,power,10.816
2021-10-19 04:55:20.962,EV Chargers,power,11.488
2021-10-19 05:25:38.903,EV Chargers,power,13.129
2021-10-19 05:56:05.81,EV Chargers,power,19.605
2021-10-19 06:26:27.848,EV Chargers,power,33.331
2021-10-19 06:56:58.238,EV Chargers,power,51.269
2021-10-19 07:26:58.626,EV Chargers,power,63.748
2021-10-19 07:57:18.104,EV Chargers,power,65.481
2021-10-19 08:27:38.052,EV Chargers,power,62.564
2021-10-19 08:58:03.097,EV Chargers,power,56.268
2021-10-19 09:28:20.06,EV Chargers,power,56.415
2021-10-19 09:58:47.559,EV Chargers,power,61.646
2021-10-19 10:29:08.856,EV Chargers,power,62.651
2021-10-19 10:59:56.375,EV Chargers,power,69.46
2021-10-19 11:29:56.707,EV Chargers,power,67.24
2021-10-19 12:00:16.137,EV Chargers,power,65.121
2021-10-19 12:30:40.08,EV Chargers,power,66.017
2021-10-19 13:00:40.62,EV Chargers,power,68.209
2021-10-19 13:30:42.171,EV Chargers,power,74.759
2021-10-19 14:00:59.485,EV Chargers,power,80.425
2021-10-19 14:31:24.312,EV Chargers,power,83.801
2021-10-19 15:01:44.395,EV Chargers,power,92.826
2021-10-19 15:31:45.707,EV Chargers,power,104.196
2021-10-19 16:02:07.582,EV Chargers,power,136.786
2021-10-19 16:32:34.23,EV Chargers,power,153.487
2021-10-19 17:03:03.588,EV Chargers,power,173.668
2021-10-19 17:33:23.619,EV Chargers,power,181.069
2021-10-19 18:03:49.319,EV Chargers,power,181.284
2021-10-19 18:33:49.717,EV Chargers,power,173.036
2021-10-19 19:04:24.741,EV Chargers,power,166.735
2021-10-19 19:34:50.157,EV Chargers,power,164.418
2021-10-19 20:05:12.39,EV Chargers,power,163.434
2021-10-19 20:35:33.646,EV Chargers,power,160.123
2021-10-19 21:05:55.433,EV Chargers,power,149.106
2021-10-19 21:36:22.141,EV Chargers,power,138.542
2021-10-19 22:06:19.08,EV Chargers,power,125.781
2021-10-19 22:36:40.059,EV Chargers,power,106.592
2021-10-19 23:07:02.565,EV Chargers,power,84.745
2021-10-19 23:37:21.133,EV Chargers,power,65.456
2021-10-20 00:08:02.766,EV Chargers,power,54.198
2021-10-20 00:38:03.206,EV Chargers,power,42.331
2021-10-20 01:08:24.722,EV Chargers,power,31.868
2021-10-20 01:38:44.603,EV Chargers,power,28.572
2021-10-20 02:09:00.686,EV Chargers,power,24.595
2021-10-20 02:39:16.591,EV Chargers,power,20.72
2021-10-20 03:09:37.299,EV Chargers,power,21.912
2021-10-20 03:39:53.554,EV Chargers,power,17.903
2021-10-20 04:10:10.207,EV Chargers,power,14.738
2021-10-20 04:40:35.037,EV Chargers,power,13.49
2021-10-20 05:41:45.706,EV Chargers,power,13.072
2021-10-20 06:11:46.055,EV Chargers,power,27.669
2021-10-20 06:42:11.823,EV Chargers,power,45.084
2021-10-20 07:12:12.659,EV Chargers,power,59.749
2021-10-20 07:42:33.719,EV Chargers,power,64.782
2021-10-20 08:12:53.691,EV Chargers,power,66.83
2021-10-20 08:43:14.071,EV Chargers,power,70.664
2021-10-20 09:13:36.388,EV Chargers,power,72.198
2021-10-20 09:44:02.865,EV Chargers,power,68.722
2021-10-20 10:14:03.246,EV Chargers,power,67.253
2021-10-20 10:44:23.239,EV Chargers,power,68.539
2021-10-20 11:14:43.642,EV Chargers,power,71.892
2021-10-20 11:45:06.944,EV Chargers,power,75.838
2021-10-20 12:15:25.105,EV Chargers,power,72.573
2021-10-20 12:45:57.652,EV Chargers,power,71.055
2021-10-20 13:16:25.513,EV Chargers,power,76.782
2021-10-20 13:46:45.932,EV Chargers,power,86.188
2021-10-20 14:17:06.842,EV Chargers,power,87.68
2021-10-20 14:47:30.327,EV Chargers,power,94.104
2021-10-20 15:17:50.242,EV Chargers,power,114.122
2021-10-20 15:48:17.423,EV Chargers,power,133.501
2021-10-20 16:18:36.838,EV Chargers,power,148.145
2021-10-20 16:48:57.906,EV Chargers,power,159.236
2021-10-20 17:19:14.456,EV Chargers,power,172.263
2021-10-20 17:49:46.931,EV Chargers,power,176.954
2021-10-20 18:20:06.113,EV Chargers,power,178.502
2021-10-20 18:50:29.336,EV Chargers,power,172.759
2021-10-20 19:20:54.261,EV Chargers,power,164.295
2021-10-20 19:51:21.696,EV Chargers,power,161.747
2021-10-20 20:21:42.252,EV Chargers,power,165.644
2021-10-20 20:52:22.448,EV Chargers,power,149.312
2021-10-20 21:22:23.143,EV Chargers,power,135.252
2021-10-20 22:23:03.418,EV Chargers,power,106.123
2021-10-20 22:53:19.392,EV Chargers,power,89.761
2021-10-20 23:23:41.311,EV Chargers,power,69.526
