timestamp,name,attribute_name,value
15:38.9,EV Chargers,power,64.969
45:40.8,EV Chargers,power,73.981
15:41.6,EV Chargers,power,72.745
45:42.9,EV Chargers,power,75.812
16:02.7,EV Chargers,power,94.165
46:21.9,EV Chargers,power,122.748
16:38.7,EV Chargers,power,155.296
47:00.8,EV Chargers,power,159.58
17:25.8,EV Chargers,power,162.144
47:44.8,EV Chargers,power,161.284
18:11.2,EV Chargers,power,158.819
48:31.3,EV Chargers,power,151.374
18:51.6,EV Chargers,power,142.174
49:11.8,EV Chargers,power,134.34
19:29.4,EV Chargers,power,131.007
49:56.0,EV Chargers,power,119.924
20:21.2,EV Chargers,power,108.775
21:04.6,EV Chargers,power,96.378
51:24.8,EV Chargers,power,79.543
21:49.1,EV Chargers,power,63.187
52:07.7,EV Chargers,power,47.934
22:36.8,EV Chargers,power,41.077
52:58.4,EV Chargers,power,33.273
23:20.8,EV Chargers,power,29.634
53:21.2,EV Chargers,power,19.238
23:40.9,EV Chargers,power,20.326
54:08.8,EV Chargers,power,19.772
24:24.2,EV Chargers,power,15.989
54:39.4,EV Chargers,power,11.695
25:01.4,EV Chargers,power,10.816
55:21.0,EV Chargers,power,11.488
25:38.9,EV Chargers,power,13.129
56:05.8,EV Chargers,power,19.605
26:27.8,EV Chargers,power,33.331
56:58.2,EV Chargers,power,51.269
26:52.7,EV Chargers,power,132.131
26:58.6,EV Chargers,power,63.748
57:18.1,EV Chargers,power,65.481
57:22.2,EV Chargers,power,132.131
27:38.1,EV Chargers,power,62.564
27:56.6,EV Chargers,power,132.131
57:57.1,EV Chargers,power,132.131
58:03.1,EV Chargers,power,56.268
28:15.2,EV Chargers,power,132.131
28:20.1,EV Chargers,power,56.415
58:38.7,EV Chargers,power,132.131
58:47.6,EV Chargers,power,61.646
29:08.9,EV Chargers,power,62.651
29:09.3,EV Chargers,power,132.131
59:30.5,EV Chargers,power,132.131
59:56.4,EV Chargers,power,69.46
29:52.0,EV Chargers,power,132.131
29:56.7,EV Chargers,power,67.24
00:14.5,EV Chargers,power,132.131
00:16.1,EV Chargers,power,65.121
30:30.7,EV Chargers,power,132.131
30:40.1,EV Chargers,power,66.017
00:40.6,EV Chargers,power,68.209
00:50.5,EV Chargers,power,132.131
30:42.2,EV Chargers,power,74.759
30:51.0,EV Chargers,power,132.131
00:59.5,EV Chargers,power,80.425
01:14.7,EV Chargers,power,132.131
31:24.3,EV Chargers,power,83.801
31:33.4,EV Chargers,power,132.131
01:44.4,EV Chargers,power,92.826
02:06.1,EV Chargers,power,132.131
31:45.7,EV Chargers,power,104.196
32:06.5,EV Chargers,power,132.131
02:07.6,EV Chargers,power,136.786
02:08.1,EV Chargers,power,132.131
32:34.2,EV Chargers,power,153.487
32:38.7,EV Chargers,power,132.131
03:03.6,EV Chargers,power,173.668
03:04.6,EV Chargers,power,132.131
33:23.6,EV Chargers,power,181.069
33:25.0,EV Chargers,power,132.131
03:44.8,EV Chargers,power,132.131
03:49.3,EV Chargers,power,181.284
33:46.4,EV Chargers,power,132.131
33:49.7,EV Chargers,power,173.036
04:06.7,EV Chargers,power,132.131
